IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,
EWK-98269702A,2014,2014-06-06,23,POWIAT ŻYRARDOWSKI,RADZIEJOWICE - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,20.5381666666667,51.9874166666667,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98273964N,2014,2014-06-12,22,POWIAT WĘGROWSKI,KORYTNICA - OBSZAR WIEJSKI,Droga wojewódzka,W637,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.8535277777778,52.3737222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98280830C,2014,2014-06-20,0,POWIAT ŻYRARDOWSKI,MSZCZONÓW - OBSZAR WIEJSKI,Droga krajowa,8,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar niezabudowany,20.5070833333333,51.9457222222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98316184K,2014,2014-07-06,1,POWIAT ŻYRARDOWSKI,PUSZCZA MARIAŃSKA - OBSZAR WIEJSKI,Droga powiatowa,P4718W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.2661666666667,52.0050555555556,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98316184K,2014,2014-07-06,1,POWIAT ŻYRARDOWSKI,PUSZCZA MARIAŃSKA - OBSZAR WIEJSKI,Droga powiatowa,P4718W,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,20.2661666666667,52.0050555555556,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98328108M,2014,2014-07-19,1,POWIAT SOKOŁOWSKI,SOKOŁÓW PODLASKI - OBSZAR WIEJSKI,Droga krajowa,63,Jednojezdniowa dwukierunkowa,"Zakręt, łuk",Obszar niezabudowany,22.2531944444444,52.3822777777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98344862Y,2014,2014-08-05,4,POWIAT RADOMSKI,JEDLIŃSK - OBSZAR WIEJSKI,Droga krajowa,7,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar niezabudowany,21.1232777777778,51.5073888888889,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,T,,,,,,,,,,
EWK-98344862Y,2014,2014-08-05,4,POWIAT RADOMSKI,JEDLIŃSK - OBSZAR WIEJSKI,Droga krajowa,7,Dwie jezdnie jednokierunkowe,Odcinek prosty,Obszar niezabudowany,21.1232777777778,51.5073888888889,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98349088P,2014,2014-08-06,1,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI,Droga krajowa,8,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.8056111111111,52.7614722222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98349088P,2014,2014-08-06,1,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI,Droga krajowa,8,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.8056111111111,52.7614722222222,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
